system:index,Area,BAI_max,BAI_median,BAI_min,EVI_max,EVI_median,EVI_min,NBR2_max,NBR2_median,NBR2_min,NBR_max,NBR_median,NBR_min,NDVI_max,NDVI_median,NDVI_min,NDWI_max,NDWI_median,NDWI_min,SAVI_max,SAVI_median,SAVI_min,dt_first,dt_last,fire_id,frname,n_images,ndvi_class_0_pixels,ndvi_class_10_pixels,ndvi_class_11_pixels,ndvi_class_12_pixels,ndvi_class_1_pixels,ndvi_class_2_pixels,ndvi_class_3_pixels,ndvi_class_4_pixels,ndvi_class_5_pixels,ndvi_class_6_pixels,ndvi_class_7_pixels,ndvi_class_8_pixels,ndvi_class_9_pixels,sensor,year,.geo,veg_name,ndvi_class_0_ha,ndvi_class_10_ha,ndvi_class_11_ha,ndvi_class_12_ha,ndvi_class_1_ha,ndvi_class_2_ha,ndvi_class_3_ha,ndvi_class_4_ha,ndvi_class_5_ha,ndvi_class_6_ha,ndvi_class_7_ha,ndvi_class_8_ha,ndvi_class_9_ha,years_since_fire,degraded_pixels,healthy_pixels,degraded_ha,healthy_ha,is_clean
0,2386,168.18592357632266,27.477251292311244,0.8142611249814519,1.5291676667111391,0.3477215363617087,-0.1628791826082473,0.4420222708752205,0.2949347524970646,-0.1029545418307636,0.918004128178413,0.4258799094891842,-0.2285444200914847,0.8438086876437145,0.5742664169320004,-0.2915325202209008,0.2669784104614618,-0.5430073141031982,-0.769422868484831,0.5769655043726658,0.3300376752883135,-0.3505739755732631,2005-06-13 03:15:00,2005-06-22 04:30:00,56844,Иркутская область,4,0.0,11400.996078431355,223.6156862745098,0.0,27.745098039215687,0.0,80.9921568627451,131.87058823529412,1336.976470588235,8110.823529411764,15516.592156862764,27155.141176470635,26559.50588235297,landsat57,2000,"{""type"":""MultiPolygon"",""coordinates"":[[[[114.99295658869508,57.26075509999999],[114.99295669000003,57.26060543999999],[115.00045668847976,57.26060543999999],[115.00045723000002,57.25980544],[115.04045723491573,57.25980544],[115.04046617000002,57.24660544],[115.04786616379462,57.24660544],[115.04786683999998,57.24560544],[115.09773316,57.24560544],[115.09774289,57.25999456],[115.09034289309967,57.25999456],[115.09034357,57.26099456],[115.05034357491571,57.26099456],[115.05034540945096,57.263704759999996],[115.0645933,57.263704759999996],[115.06459493814245,57.26700475999999],[115.06849494000002,57.26700475999999],[115.0684976209343,57.27240544],[115.09281947616739,57.27240544],[115.09282033000002,57.26925374],[115.11018360863694,57.26925374],[115.11018362000003,57.2692034],[115.12638362053951,57.2692034],[115.12638423000003,57.2665034],[115.14301577,57.2665034],[115.1430178,57.2754966],[115.12681780053953,57.2754966],[115.12681841000001,57.2781966],[115.11755522406278,57.2781966],[115.11755909234591,57.28390544],[115.13965910000002,57.28390544],[115.13966886,57.29829456],[115.13206885388068,57.29829456],[115.1320696,57.29939456],[115.0943696026846,57.29939456],[115.09437809,57.31189456],[115.09002383946256,57.31189456],[115.09002408999999,57.31274625999999],[115.06837591,57.31274625999999],[115.0683759840405,57.312494560000005],[115.0375215,57.31249456],[115.03752404504037,57.30874626],[115.02827709,57.30874626],[115.02827969383065,57.29989455999999],[115.02303006000001,57.29989455999999],[115.02303616322868,57.2908966],[115.01837871999999,57.2908966],[115.01837932946047,57.288196599999985],[115.00187933,57.288196599999985],[115.00187988310569,57.28574626],[114.99851586000003,57.28574626],[114.99851610473038,57.28484626],[114.99331611,57.28484626],[114.99331810147777,57.27749524],[114.99229985000001,57.27749524],[114.99230146607246,57.2742449],[114.98146971000001,57.2742449],[114.98147672,57.26075509999999],[114.99295658869508,57.26075509999999]]],[[[115.06627588,57.31285374000001],[115.08792411999998,57.312853739999994],[115.08792704000001,57.32274626],[115.06627296,57.32274626],[115.06627588,57.31285374000001]]]]}",Лиственный лес,0.0,1026.089647058822,20.125411764705884,0.0,2.4970588235294118,0.0,7.289294117647059,11.86835294117647,120.32788235294116,729.9741176470587,1396.4932941176487,2443.962705882357,2390.3555294117673,-5,1577.5843137254901,65339.25882352947,141.98258823529412,5880.533294117652,True
1,788,90.59494760283816,25.246568179457583,2.8740448252514668,1.8321555719114797,0.4023314749801006,0.0562261904016406,0.4958497839400628,0.3310969847428823,0.1158459351938299,0.863808344077323,0.5173608186137308,-0.0110673153178745,0.8884934317033082,0.6737715318426272,0.0329961887948267,-0.0447579106212373,-0.6190967507226831,-0.797997115568401,0.6116163948156818,0.3769110184985755,-0.1036140854526392,2005-08-06 04:15:00,2005-08-13 04:15:00,78210,Иркутская область,5,0.0,12668.996078431428,2188.3372549019587,0.0,0.0,0.0,22.0,36.0,6.0,222.05098039215687,1480.388235294117,7633.701960784319,12142.705882352984,landsat57,2000,"{""type"":""Polygon"",""coordinates"":[[[113.19515139831182,58.06659524],[113.1951529456848,58.07250544],[113.21515776,58.07250544],[113.2151677,58.08689455999999],[113.20436769828027,58.08689455999999],[113.20436832,58.08779456],[113.17920884521706,58.08779456],[113.17921102000001,58.09429592000001],[113.17670786904705,58.09429592000001],[113.17670817999999,58.0955966],[113.15969182,58.0955966],[113.15969197563905,58.094945579999994],[113.14343636000001,58.094945579999994],[113.14343978633536,58.08649456],[113.10033258000001,58.08649456],[113.10034252,58.07210544],[113.10984252104036,58.07210544],[113.10984335,58.07090544],[113.13124610020002,58.07090544],[113.13124693,58.06885442000001],[113.16015307,58.06885442000001],[113.16015491124797,58.07340544],[113.16584161828027,58.07340544],[113.16584224,58.07250544],[113.16979732045884,58.07250544],[113.16979813,58.06910340000001],[113.17644794501682,58.06910340000001],[113.17644860168815,58.06659524],[113.16179721,58.06659524],[113.1618038,58.05400476],[113.1991962,58.05400476],[113.19920278999997,58.06659524],[113.19515139831182,58.06659524]]]}",Редколесье,0.0,1140.2096470588285,196.95035294117628,0.0,0.0,0.0,1.98,3.2399999999999998,0.54,19.98458823529412,133.23494117647053,687.0331764705887,1092.8435294117685,-5,64.0,34633.74117647069,5.76,3117.036705882362,True
2,618,79.27433930596726,30.754033228419832,9.842386652977645,0.6307031959520824,0.3954997188195662,0.1999699727444911,0.4802250770840331,0.3680416290999007,0.1914059705081547,0.7132915365190133,0.5801135069901718,0.1302018226924223,0.8734972025087899,0.7519725182673321,0.3532187914494588,-0.2903194180278043,-0.6532957137121453,-0.7786115840534549,0.567411382428426,0.3798038464301632,0.1791304376389897,2005-06-01 04:30:00,2005-06-07 05:20:00,55559,Иркутская область,4,0.0,21080.082352941125,5274.00784313725,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,134.2156862745098,3716.396078431374,landsat57,2000,"{""type"":""Polygon"",""coordinates"":[[[113.69954998472696,57.84975374],[113.69955002,57.8496034],[113.71644998,57.8496034],[113.71645037965227,57.85130679],[113.72821450261173,57.85130679],[113.72821516218089,57.84914626],[113.70741516000001,57.84914626],[113.70741818000002,57.839253740000004],[113.7286496443711,57.839253740000004],[113.72865029000002,57.83780476],[113.76074971,57.83780476],[113.76075532000002,57.85039524],[113.75018521910918,57.85039524],[113.7501854973882,57.85130679],[113.75101679,57.85130679],[113.75103663999997,57.86929321000001],[113.74903664747272,57.86929321000001],[113.74903741999998,57.869993210000004],[113.66956257999999,57.869993210000004],[113.66958243,57.85200679],[113.67158243747274,57.85200679],[113.67158321,57.85130679],[113.69105954199131,57.85130679],[113.69105998000002,57.84975374],[113.69954998472696,57.84975374]]]}",Редколесье,0.0,1897.2074117647012,474.6607058823525,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.53,12.079411764705883,334.47564705882365,-5,0.0,30204.701960784256,0.0,2718.423176470583,True
3,554,84.58617869960318,31.7400460626096,7.93229739081826,0.7113132332794264,0.3963827008510597,0.1999699727444911,0.4816480502695261,0.3721552361780861,0.1328627916706027,0.7345094641213732,0.5917533041806916,0.0036923452495384,0.8825562169408798,0.7558512760021338,0.3532187914494588,-0.2903194180278043,-0.6542783934141867,-0.8004500661380212,0.615292294316657,0.3759384003582202,0.1791304376389897,2005-05-13 04:00:00,2005-05-19 04:50:00,50132,Иркутская область,4,0.0,18574.349019607904,6030.4862745097535,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,116.7529411764706,2886.07450980392,landsat57,2000,"{""type"":""MultiPolygon"",""coordinates"":[[[[113.71303249682812,57.8624551],[113.72483249999999,57.8624551],[113.72484042000002,57.8759449],[113.68255958,57.8759449],[113.68256263297337,57.8707449],[113.67076263,57.8707449],[113.67076680374609,57.863644900000004],[113.6706668,57.863644900000004],[113.67067472000001,57.8501551],[113.68580487984032,57.8501551],[113.68580657,57.843603400000006],[113.70230656608192,57.843603400000006],[113.70230734,57.8406034],[113.72089266,57.8406034],[113.72089498,57.8495966],[113.70439497608191,57.8495966],[113.70439512015966,57.8501551],[113.71292528000001,57.8501551],[113.71292944848287,57.857255099999996],[113.71302944,57.857255099999996],[113.71303249682812,57.8624551]]],[[[113.75580966486552,57.83160476],[113.75580982,57.83100340000001],[113.77439018,57.83100340000001],[113.77439249999999,57.8399966],[113.76179545914881,57.8399966],[113.76179743000002,57.84419524],[113.72800257,57.84419524],[113.72800848,57.83160476],[113.75580966486552,57.83160476]]]]}",Редколесье,0.0,1671.6914117647113,542.7437647058778,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.6199999999999999,10.507764705882353,259.7467058823528,-5,0.0,27607.66274509805,0.0,2484.6896470588244,True
4,749,206.95706106248295,36.5367518486408,7.6375043385666785,0.6392005544420926,0.3769912815573501,0.1178038855510058,0.5742094653548758,0.3701058835443007,0.0997272407145458,0.8126267238310453,0.6135244920751423,-0.2812741353038178,0.9113449357045385,0.7948784237068006,0.3441966534963274,-0.3518861760430973,-0.7099321482051315,-0.8231407067227964,0.5897952679385464,0.3779594087057104,0.1236240624666753,2005-05-21 03:10:00,2005-05-30 06:10:00,53398,Иркутская область,5,0.0,7902.658823529397,14921.800000000005,9.0,0.0,0.0,0.0,0.0,0.0,26.75686274509804,184.17254901960783,740.7372549019608,7177.301960784303,landsat57,2000,"{""type"":""Polygon"",""coordinates"":[[[102.55231657149929,52.45364625999999],[102.55231659133838,52.453753739999996],[102.56111659,52.45375374],[102.56111841,52.46364626],[102.54488159,52.46364626],[102.5448815991363,52.46359660000001],[102.53248159,52.46359660000001],[102.53248325000001,52.454603399999996],[102.54488325368176,52.454603399999996],[102.5448832917283,52.4543966],[102.53608329000001,52.45439660000001],[102.53608365979355,52.452393210000004],[102.5350298852592,52.452393210000004],[102.53503005,52.45309592],[102.51436995,52.45309592],[102.5143701147408,52.452393210000004],[102.50425894,52.452393210000004],[102.50426467848087,52.44494626000001],[102.50114731,52.44494626000001],[102.50114756192934,52.44369389],[102.48488038,52.44369389],[102.48488986,52.427506109999996],[102.53651014,52.427506109999996],[102.5365131270956,52.43260679],[102.57726334,52.43260679],[102.57727749000001,52.45059321],[102.57563966795938,52.45059321],[102.5756409,52.45219321],[102.57214090588373,52.45219321],[102.57214106,52.452393210000004],[102.56075418793384,52.452393210000004],[102.56075444,52.45364626],[102.55231657149929,52.45364625999999]]]}",Хвойный лес,0.0,711.2392941176456,1342.9620000000004,0.8099999999999999,0.0,0.0,0.0,0.0,0.0,2.4081176470588237,16.575529411764705,66.66635294117647,645.9571764705873,-5,0.0,30751.498039215665,0.0,2767.63482352941,True
5,1312,111.47429583779204,27.246980572224786,7.184533161007322,0.6625001317411973,0.4169616710053701,0.2003220195562241,0.5736337088026703,0.3935165117950878,0.2154599772447011,0.7973963917052104,0.6153145139677526,0.1468557373162635,0.9086106124671391,0.7822530046271726,0.445926507126978,-0.478485067484423,-0.7001521804692463,-0.8181602778168572,0.6041013440055463,0.4071613955293875,0.2154380307098345,2005-05-21 03:10:00,2005-05-27 05:40:00,53397,Иркутская область,3,0.0,30928.12156862744,15540.596078431385,6.0,0.0,0.0,0.0,0.0,0.0,0.0,35.49803921568628,264.16470588235296,2145.6627450980395,landsat57,2000,"{""type"":""MultiPolygon"",""coordinates"":[[[[103.9305111484499,52.27655374],[103.93051115999998,52.27650408],[103.95108884,52.27650408],[103.95109134999998,52.28729592],[103.94895625421988,52.28729592],[103.94895650468536,52.28845374000001],[103.95478627,52.28845374],[103.95478808000001,52.298346259999995],[103.9517586372118,52.298346259999995],[103.95175952,52.30244626],[103.9333595193716,52.30244626],[103.93335995000001,52.30444625999999],[103.91424005,52.30444626],[103.91424218,52.29455373999999],[103.92281261159792,52.29455373999999],[103.92281263126316,52.29444626],[103.9115422,52.29444626],[103.91154434,52.28455374],[103.92711443626783,52.28455374],[103.92711589999999,52.27655374],[103.9305111484499,52.27655374]]],[[[103.94244851787444,52.26514354999998],[103.90931084000002,52.26514354999998],[103.90932215999999,52.24805644999999],[103.95982215380842,52.24805645],[103.9598254,52.243156449999994],[104.01857460000001,52.24315645],[104.01857612282818,52.2454551],[104.02535687,52.2454551],[104.02535759844878,52.24745645],[104.02737745,52.247456449999994],[104.02738876999999,52.264543550000006],[104.02082494969078,52.264543550000006],[104.02082501000001,52.26474558000001],[103.99437499,52.26474558000001],[103.99437505030922,52.264543550000006],[103.96861123,52.264543550000006],[103.96861407869872,52.26024354999999],[103.96808591380842,52.26024355],[103.9680888359572,52.26465442],[103.97072498000001,52.26465442000001],[103.97072847,52.276345580000005],[103.94427153000001,52.276345580000005],[103.94427317163581,52.27084626],[103.94244729000002,52.270846260000006],[103.94244851787444,52.26514354999998]]]]}",Редколесье,0.0,2783.5309411764697,1398.6536470588246,0.54,0.0,0.0,0.0,0.0,0.0,0.0,3.1948235294117655,23.774823529411766,193.10964705882355,-5,0.0,48884.54509803922,0.0,4399.609058823529,False
6,1081,120.47350182315564,38.75392671829843,9.865150892216937,0.5767018263030175,0.3622927619181529,0.129258892943624,0.5537299139297589,0.3847370559009409,0.0398559880108514,0.7753924662849124,0.6385844395600081,-0.1252989233168985,0.91590320818014,0.7870887195001312,0.2173453888827321,-0.3122452994575757,-0.682582990332042,-0.7864142349195528,0.53529181419178,0.3603441938261569,0.1415148796975673,2005-08-05 03:35:00,2005-08-13 05:50:00,77259,Иркутская область,4,0.0,25457.3411764706,16831.266666666652,2.0,0.0,0.0,0.0,0.0,128.0,704.5254901960784,1499.4745098039214,1674.1215686274504,2134.78431372549,landsat57,2000,"{""type"":""Polygon"",""coordinates"":[[[101.72495017280603,58.25560611],[101.76382224000001,58.25560611],[101.76383669000002,58.27179389000002],[101.75433668734053,58.271793890000005],[101.75434365,58.27959389000001],[101.69105635,58.27959389000001],[101.69106090008903,58.27449659999999],[101.68953910474201,58.27449659999999],[101.68954339,58.279293890000005],[101.62625661000001,58.279293890000005],[101.62627107,58.263106109999995],[101.63547106881077,58.263106109999995],[101.63547821,58.25510610999999],[101.64095035108565,58.25510610999999],[101.64095341000001,58.25215645000001],[101.65145340260929,58.25215645000001],[101.65145475000001,58.25085645000001],[101.72494525,58.25085645000001],[101.72495017280603,58.25560611]]]}",Редколесье,0.0,2291.160705882354,1514.8139999999987,0.18,0.0,0.0,0.0,0.0,11.52,63.407294117647055,134.95270588235292,150.67094117647054,192.13058823529408,-5,128.0,46099.51372549019,11.52,4148.9562352941175,False
7,894,207.6471533113816,36.56945691695712,7.738789973426082,0.6790844561483401,0.3769344678045719,0.0701666950830852,1.4869264923532346,0.4094330015448235,0.0151010001961178,1.1114247008354037,0.6805031895326921,0.2009246694997196,0.9080098471466918,0.7834544724794754,0.3062333736930949,-0.2999214359617226,-0.6858034367983094,-0.8337608898318708,0.5954536726002425,0.3692016403220676,0.0782454927405201,2005-08-02 04:40:00,2005-08-11 06:05:00,75011,Иркутская область,6,0.0,15973.168627450985,11640.294117647083,10.0,0.0,0.0,0.0,0.0,0.0,50.0,173.0,624.4941176470588,2884.6039215686337,landsat57,2000,"{""type"":""Polygon"",""coordinates"":[[[103.40427389345467,57.99419388999999],[103.38726051999998,57.99419388999999],[103.3872634896004,57.99089456],[103.37515012,57.99089456],[103.37516034000001,57.97650544],[103.38936034662578,57.97650544],[103.3893695,57.963605439999995],[103.4402305,57.963605439999995],[103.44023493356806,57.96985374],[103.44642614000001,57.96985374],[103.44642698822821,57.97310611],[103.46232051,57.97310610999999],[103.46232356750664,57.97650544],[103.48313966,57.97650544],[103.48314022820709,57.97730544000001],[103.48794819,57.97730544000001],[103.48795705000002,57.99169455999999],[103.45173723044891,57.991694559999985],[103.45173948000001,57.99419388999999],[103.44955859150798,57.99419388999999],[103.44956377,58.002594560000006],[103.40543623000002,58.00259456000001],[103.40543980450191,57.99679592],[103.40427297,57.99679592],[103.40427389345467,57.99419388999999]]]}",Редколесье,0.0,1437.5851764705885,1047.6264705882375,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,4.5,15.57,56.204470588235296,259.614352941177,-5,0.0,31132.560784313762,0.0,2801.9304705882387,True
8,1675,106.26580365230154,52.27492102242712,11.712232158965907,0.5956058866506628,0.3252296764868584,0.1989775406941484,0.6841329190584021,0.3857306414587288,0.2040161277571348,0.861965802131038,0.6571585869179221,0.3689134106121294,0.8829729729729731,0.764709241670479,0.4733702599062633,-0.416109268731381,-0.6553102349695548,-0.799427314824042,0.5479169928487275,0.3253272705422938,0.2107050168805375,2005-08-03 05:35:00,2005-08-11 15:30:00,75907,Иркутская область,4,0.0,56574.02352941184,9673.658823529418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.12156862745098,2648.5490196078435,landsat57,2000,"{""type"":""Polygon"",""coordinates"":[[[103.26214553662112,57.96560476],[103.28805461000002,57.96560476],[103.28806056999998,57.97819523999999],[103.28026056928911,57.97819523999999],[103.28026109,57.979295240000006],[103.26946108821645,57.979295240000006],[103.26946639000002,57.99049524],[103.24151934681787,57.99049524],[103.24152014,57.991193210000006],[103.22746672560524,57.991193210000006],[103.22746791,57.99369524],[103.19353209,57.99369524],[103.19353327439478,57.99119320999999],[103.16007986000001,57.99119320999999],[103.16008769739669,57.98429659999999],[103.1595701,57.98429659999999],[103.15957107582567,57.98054625999998],[103.15202298999999,57.98054625999998],[103.15202311772727,57.9800966],[103.15011926000001,57.9800966],[103.150119638953,57.9784966],[103.13647161,57.9784966],[103.13647218260944,57.976295919999984],[103.13238024999997,57.97629592],[103.13238408,57.965504079999995],[103.13513634458437,57.965504079999995],[103.13513763000002,57.96210408],[103.1354852782667,57.96210408],[103.13548794000002,57.95460408],[103.13983035021984,57.95460408],[103.13983187,57.94925374000001],[103.16016813000002,57.949253740000024],[103.16016872651129,57.95135374],[103.17946873000001,57.95135374],[103.17947061309349,57.95800679],[103.18494898098568,57.95800679],[103.18495229000001,57.951004760000004],[103.21884771,57.951004760000004],[103.21885101901428,57.95800679],[103.22158244999999,57.95800679],[103.22158284543666,57.958355100000006],[103.2228488099207,57.958355100000006],[103.22284907,57.95780476000001],[103.25675093000001,57.95780476000001],[103.25675119007927,57.958355100000006],[103.26214142000002,57.958355100000006],[103.26214553662112,57.96560476]]]}",Лиственный лес,0.0,5091.662117647065,870.6292941176476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,3.2509411764705884,238.36941176470592,-5,0.0,68932.35294117655,0.0,6203.911764705889,True
9,558,206.9625529743616,36.48801609706474,8.56949567179309,0.6327640540815289,0.3693109246631839,0.0795039561777236,0.6361260522077369,0.3925973528679792,0.1201602002503128,0.8336210256695806,0.666225549272433,-0.046905047239486,0.8909553766837905,0.767710341502868,0.2667172757488754,-0.3450761735800174,-0.6650322560013038,-0.8099264180029561,0.5694791697637898,0.3622562658283643,0.0880685445769594,2005-07-25 03:55:00,2005-07-30 15:05:00,68653,Иркутская область,3,0.0,12588.00784313724,7712.960784313723,0.0,0.0,0.0,0.0,0.0,11.0,97.0,493.0,518.6823529411764,6212.9019607842965,landsat57,2000,"{""type"":""Polygon"",""coordinates"":[[[103.44679697904121,57.64814423],[103.40715062,57.64814423],[103.40716158999999,57.63285576999999],[103.41056158649555,57.63285576999999],[103.41056216000001,57.63205577],[103.43530069654432,57.63205577],[103.43530131,57.6294034],[103.44976405886563,57.6294034],[103.44977076000002,57.62005577],[103.45327076143137,57.62005577],[103.45327155,57.61895576999999],[103.50532845000001,57.61895577000001],[103.50533941,57.63424422999999],[103.50183941143138,57.63424422999999],[103.5018402,57.63534423000001],[103.48450009634223,57.63534423000001],[103.48450306000001,57.64389591999999],[103.46360203838474,57.64389591999999],[103.46360338000001,57.6496966],[103.44679662,57.6496966],[103.44679697904121,57.64814423]]]}",Смешанный лес,0.0,1132.9207058823515,694.166470588235,0.0,0.0,0.0,0.0,0.0,0.99,8.73,44.37,46.68141176470588,559.1611764705866,-5,11.0,27032.552941176436,0.99,2432.9297647058793,True
